ESTATECODE,SELLINGMARK,WAREHOUSENAME,GRADE,CHEST,NET WT.,INV #,LOT #,M / S,BUY/C,BUYER,,Valuation,UpperValuation,LEAFStandard,INFUSEDRemarks,LiquorRemark,LimitPrice,MinPrice,AskingPrice,PRICE
MF0043,ST. CLAIR,E.B. STORES,DUST1,10,600,0245R,453,M,U76,UNILEVER LIPTON CEYLON LIMITED,,1450,1470,Clean,Aroma,Quality,0,500,1470,1340
MF1273,NORTON,E.B. STORES,DUST1,10,600,41,454,M,PM8,L.G.W. PERERA & COMPANY,,1500,1520,Clean,Aroma,Quality,0,500,1520,1250
MF1293,LUCKYLAND,E.B. STORES,DUST1,10,650,0315R,455,M,H7,HENDRICK & BROS,,1600,1620,Clean,Aroma,Quality,0,500,1620,1420
MF0739,KIRKLEES,E.B. STORES,DUST1,10,650,0310R,456,M,H65,HERITAGE TEAS (PVT) LTD,,1550,1570,Clean,Aroma,Quality,0,500,1570,1360
MF0739,KIRKLEES,E.B. STORES,DUST1,10,650,313,457,M,SCL,SUNSHINE CONSUMER LANKA LIMITED,,1550,1570,Clean,Aroma,Quality,0,500,1570,1360
MF0739,KIRKLEES,E.B. STORES,DUST1,10,650,315,458,M,PM8,L.G.W. PERERA & COMPANY,,1500,1520,Clean,Aroma,Quality,0,500,1520,1300
MF0105,CANNAVARELLA,E.B. STORES,DUST1,20,1200,0290R,459,M,DB8,DILMAH CEYLON TEA COMPANY PLC,,1400,1420,Clean,Aroma,Quality,0,500,1420,1180
MF1025,OAKDALE,E.B. STORES,DUST,20,1200,0377R,460,M,H65,HERITAGE TEAS (PVT) LTD,,800,820,Bold,Mixed,Plain,0,400,820,750
MF0034,STRATHSPEY,,BOP,10,500,0436R,1,M,H65,HERITAGE TEAS (PVT) LTD,,1250,1270,Clean,Aroma,Quality,0,500,1300,1340
MF0034,STRATHSPEY,,BOP,10,500,0437R,2,M,PM4,PINNACLE COMMODITIES (PVT) LTD,,1250,1270,Clean,Aroma,Quality,0,500,1300,1340
MF0034,STRATHSPEY,,BOP,20,1000,0446R,3,M,T53,"THE TEA & HERB CO., [PVT] LTD",,1200,1220,Clean,Aroma,Quality,0,500,1250,1350
MF0034,STRATHSPEY,,BOPF,10,580,0438R,4,M,SCL,SUNSHINE CONSUMER LANKA LIMITED,,1300,1320,Clean,Aroma,Quality,0,500,1350,1420
MF0034,STRATHSPEY,,BOPF,10,580,0439R,5,M,A8,AKBAR BROTHERS (PVT) LTD,,1300,1320,Clean,Aroma,Quality,0,500,1350,1400
MF0034,STRATHSPEY,,BOPF,10,580,0440R,6,M,SCL,SUNSHINE CONSUMER LANKA LIMITED,,1300,1320,Clean,Aroma,Quality,0,500,1350,1440
